created_at,entry_id,field1,field2
2024-11-08 03:15:35 UTC,1,2.00000,15.62
2024-11-08 03:16:06 UTC,2,2.40000,15.62
2024-11-08 03:16:37 UTC,3,2.40000,15.62
2024-11-08 03:17:08 UTC,4,2.40000,15.62
2024-11-08 03:17:39 UTC,5,2.20000,15.62
2024-11-08 03:18:10 UTC,6,2.10000,15.62
2024-11-08 03:18:40 UTC,7,2.00000,15.62
2024-11-08 03:19:11 UTC,8,1.90000,15.62
2024-11-08 03:19:43 UTC,9,1.90000,15.62
2024-11-08 03:20:19 UTC,10,1.80000,0.0
2024-11-08 03:20:50 UTC,11,1.60000,15.62
2024-11-08 03:21:21 UTC,12,1.50000,15.62
2024-11-08 03:21:52 UTC,13,1.50000,15.62
2024-11-08 03:22:23 UTC,14,1.50000,15.62
2024-11-08 03:22:53 UTC,15,1.50000,15.62
2024-11-08 03:23:24 UTC,16,1.50000,15.62
2024-11-08 03:23:55 UTC,17,1.40000,15.62
2024-11-08 03:24:26 UTC,18,1.40000,15.62
2024-11-08 03:24:56 UTC,19,1.40000,15.62
2024-11-08 03:25:27 UTC,20,1.40000,15.62
2024-11-08 03:25:58 UTC,21,1.30000,15.62
2024-11-08 03:26:29 UTC,22,1.30000,15.62
2024-11-08 03:26:59 UTC,23,1.30000,15.62
